Prop Stratification Board
rows_considered=345875 rows_ranked=1532 min_n=30

Top trusted segments:
- NHL | hits UNDER | — | tier=D | line=low | def=(unknown) | h2h=(unknown) | min=(unknown) | role=(unknown) | ou=(unknown) | rel=RELIABLE | hit_rate=1.0 n=142 | l5=1.0 (5)
- NBA | rebounds OVER | GOBLIN | tier=B | line=low | def=Above Avg | h2h=(unknown) | min=MEDIUM | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8667 n=45 | l5=0.6 (5)
- NBA | pts+rebs OVER | GOBLIN | tier=A | line=mid | def=Weak | h2h=(unknown) | min=MEDIUM | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8529 n=34 | l5=0.6 (5)
- NBA | pts+asts OVER | GOBLIN | tier=D | line=mid | def=Elite | h2h=(unknown) | min=1 | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8529 n=34 | l5=0.4 (5)
- NBA | points OVER | GOBLIN | tier=A | line=mid | def=Above Avg | h2h=(unknown) | min=LOW | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8438 n=32 | l5=1.0 (5)
- NBA | fantasy score OVER | GOBLIN | tier=A | line=high | def=Weak | h2h=(unknown) | min=MEDIUM | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8421 n=38 | l5=0.8 (5)
- NHL | power play points OVER | DEMON | tier=D | line=micro | def=WEAK | h2h=(unknown) | min=(unknown) | role=SKATER | ou=(unknown) | rel=RELIABLE | hit_rate=0.8409 n=44 | l5=0.6 (5)
- SOCCER | shots on target OVER | GOBLIN | tier=A | line=micro | def=(unknown) | h2h=(unknown) | min=HIGH | role=(unknown) | ou=(unknown) | rel=RELIABLE | hit_rate=0.8393 n=56 | l5=0.6 (5)
- NBA | pts+rebs+asts OVER | GOBLIN | tier=B | line=mid | def=Above Avg | h2h=(unknown) | min=MEDIUM | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8372 n=43 | l5=0.8 (5)
- NBA1Q | points OVER | DEMON | tier=C | line=mid | def=Weak | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8364 n=55 | l5=0.2 (5)
- NBA | rebounds OVER | GOBLIN | tier=B | line=low | def=Elite | h2h=(unknown) | min=MEDIUM | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8333 n=36 | l5=1.0 (5)
- NBA1Q | points OVER | GOBLIN | tier=A | line=low | def=Avg | h2h=(unknown) | min=0 | role=SUPPORT | ou=(unknown) | rel=RELIABLE | hit_rate=0.8333 n=30 | l5=1.0 (5)
- NBA | rebs+asts OVER | GOBLIN | tier=A | line=mid | def=Weak | h2h=(unknown) | min=MEDIUM | role=SUPPORT | ou=(unknown) | rel=RELIABLE | hit_rate=0.8298 n=47 | l5=1.0 (5)
- NBA1Q | points OVER | GOBLIN | tier=A | line=low | def=Weak | h2h=(unknown) | min=0 | role=SUPPORT | ou=(unknown) | rel=RELIABLE | hit_rate=0.8298 n=47 | l5=0.8 (5)
- NHL | power play points OVER | DEMON | tier=D | line=micro | def=ELITE | h2h=(unknown) | min=(unknown) | role=SKATER | ou=(unknown) | rel=RELIABLE | hit_rate=0.8293 n=41 | l5=1.0 (5)
- NBA | 3-pt made OVER | GOBLIN | tier=D | line=low | def=Weak | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8286 n=35 | l5=0.6 (5)
- NBA | points OVER | GOBLIN | tier=D | line=mid | def=Elite | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8286 n=35 | l5=1.0 (5)
- NBA | pts+asts OVER | GOBLIN | tier=A | line=high | def=Elite | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8286 n=35 | l5=0.8 (5)
- CBB | — OVER | GOBLIN | tier=A | line=micro | def=Weak | h2h=(unknown) | min=(unknown) | role=(unknown) | ou=(unknown) | rel=RELIABLE | hit_rate=0.8261 n=46 | l5=1.0 (5)
- NBA | rebounds OVER | GOBLIN | tier=A | line=low | def=Avg | h2h=(unknown) | min=LOW | role=SUPPORT | ou=(unknown) | rel=RELIABLE | hit_rate=0.8254 n=63 | l5=1.0 (5)
- NBA1Q | points OVER | GOBLIN | tier=B | line=low | def=Avg | h2h=(unknown) | min=UNKNOWN | role=SUPPORT | ou=(unknown) | rel=RELIABLE | hit_rate=0.8243 n=74 | l5=0.6 (5)
- NBA1Q | points OVER | DEMON | tier=D | line=mid | def=Avg | h2h=(unknown) | min=MEDIUM | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8205 n=78 | l5=0.8 (5)
- NBA1Q | points OVER | DEMON | tier=D | line=mid | def=Above Avg | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8197 n=61 | l5=0.0 (5)
- NBA | assists OVER | GOBLIN | tier=B | line=low | def=Weak | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8158 n=38 | l5=0.6 (5)
- NBA | fantasy score OVER | GOBLIN | tier=D | line=xl | def=Elite | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8158 n=38 | l5=0.6 (5)
- NBA1Q | points OVER | GOBLIN | tier=D | line=low | def=Above Avg | h2h=(unknown) | min=UNKNOWN | role=SUPPORT | ou=(unknown) | rel=RELIABLE | hit_rate=0.8125 n=32 | l5=0.6 (5)
- NBA | rebounds OVER | GOBLIN | tier=A | line=low | def=Weak | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8105 n=95 | l5=0.6 (5)
- NBA | pts+rebs OVER | GOBLIN | tier=D | line=mid | def=Elite | h2h=(unknown) | min=HIGH | role=PRIMARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.8095 n=42 | l5=0.6 (5)
- CBB | — UNDER | STANDARD | tier=A | line=mid | def=Above Avg | h2h=(unknown) | min=(unknown) | role=(unknown) | ou=(unknown) | rel=RELIABLE | hit_rate=0.8077 n=52 | l5=1.0 (5)
- NBA1Q | rebounds OVER | DEMON | tier=D | line=low | def=Above Avg | h2h=(unknown) | min=MEDIUM | role=SECONDARY | ou=(unknown) | rel=RELIABLE | hit_rate=0.807 n=57 | l5=0.0 (5)
