slate_date,group_name,group_type,ticket_no,ticket_uid,n_legs,is_flex_structure,sports_in_ticket,dominant_sport,legs_nba,legs_cbb,legs_nhl,legs_soccer,legs_mlb,pick_standard_count,pick_goblin_count,pick_demon_count,n_hit,n_miss,n_void,n_ungraded,n_push,n_no_line,n_no_actual,n_no_data,n_dnp,has_any_unresolved,pending,result,canonical_leg_ids,leg_statuses,leg_reasons,label_cash,label_paid,actual_payout_mult,net_10,predicted_payout_mult,predicted_p_win,predicted_ev,ticket_objective_score,ev_power,est_ev,flat_ev,payout_multiplier,power_payout,flex_payout,est_win_prob,avg_hit_rate_leg,avg_ml_prob_leg,min_ml_prob_leg,max_ml_prob_leg,std_ml_prob_leg,avg_leg_prob_used,min_leg_prob_used,avg_edge_leg,min_edge_leg,max_edge_leg,avg_abs_edge_leg,avg_rank_score_leg,min_rank_score_leg,avg_context_score_leg,avg_intel_hit_rate_leg
2026-05-04,TENNIS Mixed 6-Leg #3,OTHER,1,2026-05-04|TENNIS Mixed 6-Leg #3|1|graded,6,0,1,TENNIS,0,0,0,0,0,4,2,0,5,1,0,0,0,0,0,0,0,0,0,CASH,,"MISS,HIT,HIT,HIT,HIT,HIT",,1,1,25.6,5.600000000000001,40.0,,,,,,,1.28,,,,,0.7199999999999999,0.72,0.72,1.1102230246251563e-16,,,,,,,,,,
2026-05-04,TENNIS Mixed 6-Leg #3,OTHER,2,2026-05-04|TENNIS Mixed 6-Leg #3|2|graded,6,0,1,TENNIS,0,0,0,0,0,4,2,0,5,1,0,0,0,0,0,0,0,0,0,LOSE,,"MISS,HIT,HIT,HIT,HIT,HIT",,0,0,0.0,-20.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2026-05-04,TENNIS Mixed 6-Leg #3,OTHER,2,2026-05-04|TENNIS Mixed 6-Leg #3|2|graded,6,0,1,TENNIS,0,0,0,0,0,4,2,0,5,1,0,0,0,0,0,0,0,0,0,CASH,,"MISS,HIT,HIT,HIT,HIT,HIT",,1,1,25.6,5.600000000000001,40.0,,,,,,,1.28,,,,,,,,,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #1,OTHER,1,2026-05-04|TENNIS Standard 2-Leg #1|1|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSE,,"HIT,MISS",,0,0,0.0,-20.0,0.0,,,,,,,0.0,,,,,0.6,0.6,0.6,0.0,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #1,OTHER,1,2026-05-04|TENNIS Standard 2-Leg #1|1|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSE,,"HIT,MISS",,0,0,0.0,-20.0,0.0,,,,,,,0.0,,,,,0.6,0.6,0.6,0.0,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #1,OTHER,2,2026-05-04|TENNIS Standard 2-Leg #1|2|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSE,,"HIT,MISS",,0,0,0.0,-20.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #1,OTHER,2,2026-05-04|TENNIS Standard 2-Leg #1|2|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,LOSE,,"HIT,MISS",,0,0,0.0,-20.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #4,OTHER,1,2026-05-04|TENNIS Standard 2-Leg #4|1|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,,"HIT,HIT",,1,1,60.0,40.0,60.0,,,,,,,3.0,,,,,0.72,0.72,0.72,0.0,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #4,OTHER,1,2026-05-04|TENNIS Standard 2-Leg #4|1|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,CASH,,"HIT,HIT",,1,1,60.0,40.0,60.0,,,,,,,3.0,,,,,0.72,0.72,0.72,0.0,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #4,OTHER,2,2026-05-04|TENNIS Standard 2-Leg #4|2|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,WIN,,"HIT,HIT",,1,1,60.0,40.0,60.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
2026-05-04,TENNIS Standard 2-Leg #4,OTHER,2,2026-05-04|TENNIS Standard 2-Leg #4|2|graded,2,0,1,TENNIS,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,CASH,,"HIT,HIT",,1,1,60.0,40.0,60.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
